Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Age at enrollment,Scholarship holder,Gender,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Tuition fees up to date,Debtor,Daytime/evening attendance,Previous qualification,Target
0,0,0,0.0,0,0,0,0.0,20,0,1,13,10,6,10,1,0,1,0,1,1,Dropout
6,6,6,14.0,6,6,6,13.666666666666666,19,0,1,1,3,4,4,1,0,0,0,1,1,Graduate
6,0,0,0.0,6,0,0,0.0,19,0,1,22,27,10,10,1,0,0,0,1,1,Dropout
6,8,6,13.428571428571429,6,10,5,12.4,20,0,0,23,27,6,4,1,0,1,0,1,1,Graduate
6,9,5,12.333333333333334,6,6,6,13.0,45,0,0,22,28,10,10,0,0,1,0,0,1,Graduate
5,10,5,11.857142857142858,5,17,5,11.5,50,0,1,22,27,10,8,0,0,1,1,0,12,Graduate
7,9,7,13.3,8,8,8,14.345,18,1,0,13,28,8,11,1,0,1,0,1,1,Graduate
5,5,0,0.0,5,5,0,0.0,22,0,1,22,27,10,10,1,0,0,0,1,1,Dropout
6,8,6,13.875,6,7,6,14.142857142857142,18,1,0,1,1,10,10,1,0,1,0,1,1,Graduate
6,9,5,11.4,6,14,2,13.5,18,0,0,1,14,5,8,1,0,0,1,1,1,Dropout
6,6,6,12.333333333333334,6,7,5,14.2,18,0,0,23,14,6,8,1,0,1,0,1,1,Graduate
8,8,7,13.214285714285714,8,8,7,13.214285714285714,18,1,0,13,28,10,10,1,0,1,0,1,1,Graduate
6,6,0,0.0,6,0,0,0.0,19,0,0,13,27,5,10,1,0,1,0,1,1,Dropout
6,7,6,10.571428571428571,6,8,5,11.0,21,1,0,1,1,5,8,1,0,1,0,1,16,Graduate
5,7,4,13.25,5,5,5,12.0,18,1,0,23,27,6,6,1,0,1,0,1,1,Graduate
6,6,5,13.2,6,7,0,0.0,20,0,0,13,27,10,4,1,0,1,0,1,1,Dropout
6,10,1,12.0,6,14,2,11.0,18,0,0,13,28,6,9,1,0,1,0,1,1,Enrolled
7,8,6,13.30625,6,8,8,14.545,18,0,0,13,1,10,10,1,0,1,0,1,1,Graduate
5,8,4,12.5,5,8,4,12.25,20,0,0,3,14,4,6,1,0,1,0,1,1,Graduate
6,7,6,11.666666666666666,7,8,6,0.0,18,0,0,13,14,10,8,1,0,1,0,1,1,Enrolled
0,0,0,0.0,0,0,0,0.0,21,1,0,1,1,10,9,0,0,1,0,1,1,Graduate
7,14,7,11.4375,8,9,8,11.425,20,0,0,1,28,5,8,1,0,1,0,1,1,Enrolled
8,12,7,12.857142857142858,8,12,7,12.857142857142858,18,0,0,13,14,2,2,1,0,1,0,1,1,Graduate
7,8,6,13.296666666666669,8,9,7,14.114285714285714,19,0,0,13,14,4,8,0,0,1,0,1,1,Graduate
6,8,5,11.6,6,12,4,11.0,18,1,0,13,28,10,10,1,0,1,1,1,1,Enrolled
6,9,6,11.375,6,9,6,13.285714285714286,21,0,0,13,28,8,9,1,0,1,0,1,1,Graduate
5,9,5,12.666666666666666,5,7,4,13.0,18,0,0,13,14,4,4,1,0,1,0,1,1,Enrolled
5,6,5,12.0,5,6,5,12.333333333333334,20,0,0,13,1,10,10,1,0,1,0,1,1,Graduate
7,9,6,12.933333333333332,7,7,6,13.716666666666669,19,0,1,3,3,2,11,1,0,1,0,1,1,Enrolled
6,15,5,11.857142857142858,6,17,5,10.571428571428571,21,0,1,4,5,5,3,0,0,1,0,1,14,Enrolled
6,7,6,12.833333333333334,6,9,4,13.4,20,0,1,27,3,16,22,1,0,1,0,1,1,Graduate
5,9,3,11.333333333333334,5,8,2,13.5,18,0,1,1,1,5,7,0,0,0,0,1,1,Enrolled
6,6,6,12.666666666666666,6,8,6,0.0,19,0,0,13,27,10,6,1,0,1,0,0,1,Graduate
5,6,5,12.4,5,9,5,13.428571428571429,34,0,1,2,27,4,10,0,0,1,0,0,1,Graduate
7,7,0,0.0,7,7,1,10.0,37,0,1,23,27,10,7,0,0,0,1,1,1,Dropout
5,0,0,0.0,5,0,0,0.0,43,0,1,19,27,1,1,1,0,1,0,1,8,Dropout
5,10,1,10.0,5,8,2,12.0,55,0,0,22,27,7,7,0,0,1,0,1,1,Dropout
5,8,5,11.0,5,5,5,11.6,39,0,0,13,14,10,4,1,0,1,0,0,1,Graduate
6,13,3,11.666666666666666,6,11,3,12.0,20,0,0,4,4,4,7,0,0,0,1,1,14,Dropout
6,6,4,12.75,5,5,0,0.0,18,0,0,3,3,3,3,0,0,1,1,1,1,Dropout
5,5,5,14.8,5,5,5,15.8,22,0,0,3,14,3,8,1,0,1,0,1,1,Graduate
7,9,5,13.928,8,9,7,14.342857142857142,22,0,0,1,3,3,3,1,1,1,0,1,1,Graduate
6,7,4,13.0,6,7,5,13.8,20,0,0,1,28,6,6,0,0,0,0,1,1,Dropout
5,0,0,0.0,5,0,0,0.0,29,0,0,22,27,10,10,0,0,1,0,0,1,Dropout
5,9,2,0.0,5,11,3,14.333333333333334,24,0,0,1,28,10,10,0,0,1,0,1,1,Enrolled
6,6,6,11.666666666666666,6,8,5,13.2,18,0,0,13,14,10,10,1,0,1,0,1,1,Graduate
7,8,6,13.516666666666666,8,9,7,13.771428571428572,22,1,0,22,14,8,8,1,0,1,0,1,1,Graduate
6,6,6,11.5,6,7,6,13.285714285714286,21,1,0,1,14,10,10,0,0,1,0,0,14,Graduate
6,7,5,12.333333333333334,6,7,6,12.833333333333334,19,1,0,22,28,10,10,0,0,1,0,1,1,Graduate
6,6,6,13.666666666666666,6,6,6,14.166666666666666,24,1,0,13,28,10,8,0,0,1,0,1,1,Graduate
8,8,6,11.833333333333334,8,8,6,0.0,19,1,0,22,28,7,10,1,0,1,0,1,1,Enrolled
6,11,4,14.0,6,12,3,11.0,20,1,0,1,14,8,8,1,0,1,0,1,1,Enrolled
5,7,5,14.714285714285714,5,5,5,15.8,19,0,0,22,27,12,12,0,0,1,0,1,1,Graduate
5,12,5,10.6,5,10,5,11.0,27,0,0,23,28,10,10,0,0,1,0,0,1,Dropout
7,9,7,13.044444444444444,8,10,8,13.595,18,0,0,1,14,6,6,1,0,1,0,1,1,Graduate
6,10,0,0.0,6,6,0,0.0,39,0,0,1,3,5,4,0,0,1,0,1,3,Dropout
6,9,5,13.0,11,13,10,12.9,27,0,0,3,3,3,3,1,0,1,0,1,15,Dropout
8,8,8,14.935,8,8,8,14.935,18,0,0,23,28,8,11,1,0,1,0,1,1,Graduate
0,0,0,0.0,0,0,0,0.0,18,0,0,23,27,5,10,1,0,1,0,1,1,Enrolled
7,8,6,13.133333333333333,8,12,7,12.221428571428572,18,0,0,13,14,10,10,0,0,1,0,1,1,Graduate
6,7,6,0.0,6,7,6,12.0,21,0,0,13,1,10,10,0,0,1,0,1,1,Graduate
0,0,0,0.0,0,0,0,0.0,19,1,1,1,27,5,8,1,0,1,0,1,1,Enrolled
6,6,5,11.4,6,8,1,10.0,19,0,1,1,1,4,5,1,0,1,0,1,1,Enrolled
6,6,0,0.0,6,6,0,0.0,24,0,1,1,1,4,4,0,0,1,0,1,1,Enrolled
7,10,5,11.9,8,10,5,11.0,29,0,1,1,1,6,6,1,0,1,0,1,12,Dropout
0,0,0,0.0,0,0,0,0.0,19,1,1,13,14,6,4,1,0,1,0,1,1,Graduate
6,8,6,12.571428571428571,6,7,6,12.428571428571429,23,0,1,13,27,10,10,1,0,1,0,1,14,Graduate
5,8,5,11.2,5,10,4,10.75,19,0,1,1,28,8,8,0,0,1,1,1,1,Dropout
6,8,6,12.0,6,8,5,0.0,26,0,1,13,27,10,10,1,0,1,0,1,1,Enrolled
6,9,0,0.0,6,5,6,0.0,18,0,1,23,27,6,6,0,0,1,0,1,1,Graduate
7,8,7,11.975,8,8,8,13.75,24,0,1,22,14,9,5,0,0,1,0,1,1,Graduate
0,0,0,0.0,0,0,0,0.0,19,0,1,13,14,6,11,1,0,1,0,1,1,Dropout
6,12,3,11.666666666666666,6,12,1,12.0,18,0,1,23,27,6,8,1,0,1,0,1,1,Dropout
6,8,6,12.333333333333334,6,11,3,12.333333333333334,18,0,1,23,28,10,10,1,0,1,0,1,1,Graduate
5,8,3,10.333333333333334,5,11,3,10.857142857142858,18,0,1,13,14,5,8,1,0,1,1,1,1,Dropout
6,8,4,10.5,6,11,1,11.0,21,1,1,13,27,8,8,1,0,1,0,1,1,Dropout
6,6,6,13.666666666666666,6,6,6,13.333333333333334,19,1,1,1,14,10,9,1,0,1,1,1,1,Graduate
7,7,7,14.842857142857142,8,9,8,15.055555555555555,22,1,1,23,27,10,10,0,0,1,0,1,1,Graduate
6,8,6,12.0,6,6,6,11.666666666666666,33,0,1,22,27,10,7,0,0,1,0,0,1,Graduate
6,8,5,12.2,6,7,5,12.2,20,0,1,1,14,10,10,1,0,1,0,1,1,Dropout
1,1,0,0.0,5,0,0,0.0,35,0,1,3,3,3,3,1,0,1,0,0,2,Dropout
12,17,6,12.166666666666666,12,14,10,13.3,24,0,1,3,3,5,3,0,0,1,1,1,4,Dropout
5,6,5,12.0,5,8,3,11.333333333333334,18,0,1,13,14,5,5,0,0,1,0,1,1,Enrolled
6,8,6,11.0,6,8,5,11.0,33,0,0,22,27,10,7,1,0,1,0,0,1,Graduate
8,8,7,13.08,8,8,7,13.08,22,1,0,22,28,10,8,1,0,1,0,1,1,Graduate
5,7,4,10.5,5,7,5,11.6,25,1,0,1,14,5,6,0,0,1,0,1,1,Graduate
6,9,6,10.666666666666666,6,6,5,11.2,20,0,1,13,28,5,1,1,0,1,0,1,1,Graduate
5,6,4,14.0,5,5,5,13.8,23,0,1,23,27,10,10,1,0,1,0,1,1,Enrolled
5,9,2,10.0,5,9,0,0.0,18,0,1,23,14,10,7,1,0,1,1,1,1,Enrolled
7,18,0,0.0,7,7,0,0.0,24,0,1,1,1,5,11,0,0,1,0,1,1,Dropout
6,6,6,14.0,6,6,6,13.5,21,0,0,13,1,10,10,1,0,0,0,1,1,Graduate
6,7,2,12.0,6,6,0,0.0,26,0,0,1,1,5,5,0,0,1,0,1,1,Dropout
6,12,6,12.666666666666666,6,14,0,0.0,39,0,0,22,24,1,1,0,0,1,0,1,1,Dropout
8,11,8,11.875,6,7,6,12.333333333333334,44,0,0,22,14,10,10,0,0,1,0,0,1,Graduate
5,9,5,14.0,5,11,3,13.25,19,0,1,23,3,10,3,1,0,1,0,1,1,Enrolled
6,6,6,13.666666666666666,6,8,6,13.333333333333334,18,0,0,22,1,10,6,1,0,1,0,1,1,Graduate
7,7,7,13.75,8,9,8,14.47777777777778,18,1,0,22,27,8,8,1,0,1,0,1,1,Graduate
5,7,5,14.2,5,7,5,13.8,19,0,0,1,2,10,2,1,0,1,0,1,1,Enrolled
7,10,4,11.96,7,7,0,0.0,19,0,0,3,3,3,3,1,0,0,1,1,1,Dropout
